"Time_Period","Export","Import","Mining_Index","Electricity_Index","CokeFuel_Index","WPI_OILS","Silver_Price","Gold_Price","Oil_Price"
"Apr-05",2990,13511,100.9,103,87.6,107.2,1245.75,18775.03,2316.53
"May-05",2697,14178,103.3,108.2,95.4,107.4,1221.24,18347.73,2166.31
"Jun-05",3660,13495,98.1,104.1,97.7,108.8,1274.45,18770.71,2457.81
"Jul-05",3287,15215,95.5,101.7,101.3,114.1,1220.79,18480.74,2554.34
"Aug-05",4125,17275,91.4,106.6,100.6,113.9,1226.76,19105.09,2833.94
"Sep-05",4596,17778,93.7,99.5,97,119.7,1256.01,20028.12,2878.29
"Oct-05",5457,15423,100.4,106.7,91.1,121.7,1375.15,21062.09,2795.13
"Nov-05",4689,15382,101.2,101,92.1,121.5,1439.46,21796.27,2664.92
"Dec-05",4778,16967,108.7,106.8,112,121.3,1576.12,23290.2,2712.55
"Jan-06",5544,18502,110.8,109.9,113.9,121,1623.21,24412.96,2907.21
"Feb-06",5194,18219,104.3,102.6,103.9,121.8,1689.9,24603.73,2731.68
"Mar-06",4517,18695,118.8,111.8,115.1,122.4,1846.62,24776.86,2797.06
"Apr-06",4230,17855,103,109.1,100,122.9,2267.25,27448.36,3119.94
"May-06",6646,22052,106.5,113.7,107.5,124.4,2430.29,30668.85,3220.87
"Jun-06",9266,22467,102.7,109.2,110,129.1,1989.6,27455.96,3266.71
"Jul-06",9934,23795,100.4,110.8,114.2,130.7,2086.81,29439.75,3456.34
"Aug-06",8336,25798,92,111,109.4,131.4,2269.25,29440.16,3399.22
"Sep-06",7307,23808,97.6,110.7,108.9,130.8,2154.77,27589.09,2943.44
"Oct-06",6865,25270,106.3,117,114.6,130.6,2102.46,26634.49,2675.82
"Nov-06",6079,19145,108.2,109.8,113,129.4,2320,28162.57,2652.4
"Dec-06",6666,19828,115.5,116.5,116.5,125.8,2370.99,28110.36,2767.34
"Jan-07",6334,16659,119,118.9,120.2,126.1,2277.28,27985.75,2404.97
"Feb-07",5645,19852,111.8,106.1,112.6,124.3,2457.19,29356.92,2616.62
"Mar-07",7212,21522,127.6,120.7,124.1,123.3,2321.02,28832.3,2667.95
"Apr-07",8796,23154,106.3,118.6,113.4,123.7,2313.25,28636.16,2695.14
"May-07",9093,22890,109.7,124.3,121,123.9,2145.66,27220.91,2588.25
"Jun-07",8603,24015,103.9,116.6,117.9,123.8,2142.45,26726.01,2751.03
"Jul-07",8905,22632,103.2,119.1,118.4,124.1,2087.1,26892.24,2996.47
"Aug-07",8039,25318,102.9,121.1,119.5,124.4,2013.13,27160.45,2954.38
"Sep-07",8475,23363,101.6,115.8,113.5,124.3,2070.25,28748.3,3223.57
"Oct-07",9582,25780,110.9,122,117.8,124.9,2160.58,29816.65,3394.18
"Nov-07",8388,25566,114.1,116.2,118.2,126.3,2319.07,31798.5,3737.33
"Dec-07",9005,26913,120.4,121,120.6,127.6,2255.97,31678.21,3603.24
"Jan-08",9425,33487,122.7,123.3,126.1,128.6,2505.68,35025.98,3660.88
"Feb-08",9453,30645,120.2,116.4,121.2,130.2,2792.19,36642.54,3789.4
"Mar-08",10474,36625,134.3,125.1,127.4,133.2,3118.76,39082.61,4256.42
"Apr-08",11376,35742,112.3,120.2,119.5,134.4,2802.14,36416.2,4508.24
"May-08",11498,44211,115.6,126.8,121.5,136.3,2874.64,37435.25,5266.11
"Jun-08",15361,43332,103.5,119.6,125.7,152.7,2906.62,38087.96,5734.88
"Jul-08",16083,54299,105.4,124.5,131.4,154.9,3089.37,40256.48,5713.54
"Aug-08",13972,49467,105.4,122.1,123.5,158.6,2514.51,36027.07,5008.4
"Sep-08",11635,43483,107.4,120.8,122.8,157.1,2254.51,37814.93,4735.92
"Oct-08",10335,35446,114.7,127.4,125.3,154.5,2031.3,39235.79,3726.48
"Nov-08",6403,29174,115.8,119.2,119.4,143.8,1934.65,37284.68,2807.4
"Dec-08",6382,22277,124.2,122.9,121.2,132.3,2002.1,39696.17,2015.72
"Jan-09",6633,22091,124.2,125.6,123.7,129.5,2201.71,41938.42,2038.58
"Feb-09",5919,19059,120.6,117.2,118.1,124.4,2640.28,46416.55,1927.05
"Mar-09",7801,21387,135.6,133,128.7,123.6,2690.65,47387.32,2436.35
"Apr-09",7592,23729,115.8,128.7,112.2,125.2,2499.55,44573.36,2494.05
"May-09",7281,25757,119.3,130.9,115.4,126.1,2714.02,45071.1,2869.82
"Jun-09",6773,31539,117.1,129.1,119.8,127.7,2799.54,45178.09,3326
"Jul-09",8768,35604,113.4,129.7,117.4,135.4,2592.25,45317.38,3110.32
"Aug-09",10199,33525,114.9,135,127.8,135.5,2775.44,45873.04,3433.54
"Sep-09",11655,31708,112.8,129.9,124.4,137.8,3175.66,48273.77,3363.6
"Oct-09",12799,39195,122.8,132.5,131,137.3,3221.88,48737.54,3540.05
"Nov-09",13709,35160,124.9,121.4,118.9,138.1,3319.44,52485.13,3632.38
"Dec-09",14372,38453,133.6,129.6,124,138.6,3290.21,52911.99,3473.47
"Jan-10",11410,39126,138.6,132.5,127.4,139.7,3260.81,51344.37,3598.83
"Feb-10",11368,38174,130.5,125.8,116.3,141,2940.76,50745.73,3539.75
"Mar-10",16972,39680,150.7,144,126.4,146.6,3113.88,50654.74,3696.71
"Apr-10",12227,42070,126.4,137.1,115.7,148.2,3214.6,51115.5,3759.27
"May-10",11835,39265,128.6,139,117.7,148.9,3374.2,55173.16,3374.66
"Jun-10",15569,36464,125.3,133.7,122.4,149.5,3436.46,57410.36,3508.64
"Jul-10",13708,39142,123.3,134.5,121.9,156.9,3367.29,55917.02,3578.69
"Aug-10",14116,33493,121.7,136.4,116.7,157.2,3425.43,56616.02,3566.99
"Sep-10",13913,38805,117.7,132.2,110.9,156.6,3784.23,58511.91,3466.11
"Oct-10",15464,37067,130.3,144.1,120.7,157.3,4155.7,59609.17,3637.79
"Nov-10",14534,35079,133.5,127,116.7,158.1,4764.15,61476.63,3780.44
"Dec-10",17777,41741,141.5,137.3,131.2,160.7,5297.41,62809.68,4026.81
"Jan-11",18532,44130,141,146.4,137.1,163,5175.62,61743.4,4057.8
"Feb-11",17787,41248,132,134.3,118.7,165.1,5596.42,62486.08,4069.59
"Mar-11",23317,53778,151.2,154.4,128.5,168.2,6444.3,64031.82,4630.32
"Apr-11",22721,57699,128.4,146,123.5,171.1,7581.08,65730.36,4880.65
"May-11",23840,59023,130.9,153.3,126.1,172.6,6705.52,67907.28,4546.97
"Jun-11",22186,59552,123.5,144.3,127.7,174.6,6422.78,68594.58,4316.99
"Jul-11",20723,57490,124.1,152.1,125.3,181,6736.91,69854.13,4322.05
"Aug-11",19865,56624,115,149.4,126.7,183.2,7304.33,79645.34,3908.44
"Sep-11",23192,51347,108.8,144.1,114,184.1,7283.28,84580.51,4084.55
"Oct-11",21096,55338,122.6,152.1,116.5,186.3,6296.81,82055.02,4254.83
"Nov-11",21963,63248,128.8,145.6,128,188.9,6707.38,88150.88,4923.07
"Dec-11",23317,61520,136.8,149.8,130.6,190.6,6380.03,86328.88,5188.25
"Jan-12",23114,76348,138,151.1,128.4,191.7,6280.48,84732.63,5137.59
"Feb-12",19241,64512,135,145.1,126.9,191.2,6713.79,85781.78,5025.02
"Mar-12",26656,80375,149.6,158.6,135.5,192.9,6632.57,84338.83,5341.79
"Apr-12",24313,70224,124.8,152.7,120,194.5,6533.44,85434.05,5350.25
"May-12",23937,79411,130,162.3,130,194.6,6242.23,86343.66,5144.63
"Jun-12",23431,62911,122.1,157,133.4,192.6,6270.88,89578.52,4614.63
"Jul-12",22999,76677,119.7,156.3,136.2,189.9,6092.37,88525.34,4880.78
"Aug-12",25536,71148,114.6,152.2,136.1,193.5,6400.46,90579.25,5228.71
"Sep-12",29855,76609,111.2,149.7,122.5,204.4,7334.85,95194.24,5156.33
"Oct-12",32644,79311,122.4,160.5,142.5,206.4,7030.76,92496.06,4740.84
"Nov-12",29488,71795,121.7,149.1,138.9,204.6,7172.69,94207.98,4743.12
"Dec-12",31355,75171,132.5,157.6,142.8,207.3,6962.48,92015.3,4818.25
"Jan-13",27975,79662,135.5,160.7,149.1,212.1,6747.87,90803.52,5145.63
"Feb-13",29460,76005,124.6,140.5,132.4,215.6,6520.15,87471.13,5121.75
"Mar-13",29798,72947,146.4,164.2,153.2,213.9,6263.3,86644.73,5053.18
"Apr-13",27858,69727,120.5,159.1,134.5,210.8,5515.87,80903.44,5003.65
"May-13",25513,77643,122.3,172.4,143.6,208,5071.87,77818.8,5214.96
"Jun-13",25925,70258,116.5,157,136.8,212.1,4925.27,78355.69,5587.29
"Jul-13",33788,76104,116.1,164.5,145.8,220.4,4713.01,76847.65,6258.91
"Aug-13",37185,95441,113.6,163.1,149.1,224.3,5534.57,85441.92,6734.9
"Sep-13",44298,84235,115.2,169,141.3,232.9,5747.31,85891.21,6766.97
"Oct-13",34732,94232,118.8,162.6,141.5,231.3,5403.82,81142.34,6193.93
"Nov-13",30380,81292,123.7,158.5,137.2,230.9,5207.32,80007.36,5891.47
"Dec-13",30188,86201,135.9,169.4,146.5,232.8,4874.07,75670.14,6061.62
"Jan-14",28883,81864,139.2,171.1,149.1,235.4,4940.99,77312.91,5894.14
"Feb-14",28844,85296,127.5,156.7,140.5,235.6,5194.52,80943.59,6273.91
"Mar-14",35653,95591,147.2,173,156.3,236.9,5052.94,81456.73,6131.45
"Apr-14",31521,78252,122.6,178.1,136.4,233.1,4765.76,78370.05,6161.2
"May-14",35340,84606,125.3,183.9,138.8,233.5,4590.76,76477.43,6044.66
"Jun-14",33496,78758,122.1,181.6,138.6,233.8,4750.73,76378.35,6284.15
"Jul-14",32091,87532,116.2,183.8,137.7,237.6,5026.14,78718.95,6182.96
"Aug-14",32452,78036,115,184.1,141.5,236.5,4808.28,78867.16,5869.08
"Sep-14",37537,88699,115.3,175.6,141.5,235.6,4473.72,75285.57,5675.57
"Oct-14",35149,76783,124.2,184.9,147.3,231.4,4210.93,74997.34,5177.77
"Nov-14",28926,72193,128.6,174.3,149.5,214.4,3939.95,72491.16,4675.76
"Dec-14",28380,62524,133.6,177.6,155.5,205.6,4088.75,75291.99,3716.25
"Jan-15",18811,51282,136.7,176.7,153.7,196.7,4284.85,77715.8,2937.14
"Feb-15",15854,37882,129.6,166,139,183.4,4165.8,76113.23,3139.23
"Mar-15",16525,46328,149,176.4,156.5,194.1,4056.74,73605.25,2983.85
"Apr-15",17248,46960,121.9,177.2,132.5,188.1,4101.8,75236.65,3416.28
"May-15",16573,54635,127.9,195,154.2,200.4,4295.7,76484.8,3782.03
"Jun-15",19111,55515,121.6,183.7,151,202.7,4107.52,75451.46,3818.87
"Jul-15",20337,60365,117.7,190.3,149.3,194.5,3831.48,71812.23,3239.57
"Aug-15",18437,47944,120.2,194.4,155.9,177.6,3888.72,72746.31,2789
"Sep-15",17133,44217,119.3,195.7,142.9,171.8,3906.69,74476.64,3009.47
"Oct-15",16474,44684,130.8,201.6,143.4,173.1,4115.37,75438.75,3006.49
"Nov-15",15396,42694,130.8,175.6,157.9,175.7,3817.71,71759.82,2820.35
"Dec-15",17030,44423,137.3,183.2,160.4,173.8,3763.98,71639.46,2479.35
"Jan-16",14040,33991,138.8,188.3,163.6,165.1,3798.04,73882.06,2122.43
"Feb-16",13193,32755,136.1,181.9,155.5,162.1,4140.99,81857.57,2073.91
"Mar-16",14666,32322,149.5,197.2,174.1,168.5,4149.56,83496.73,2532.79
"Apr-16",13616,37994,122.7,203,155.1,173.3,4349.77,82572.44,2722.59
"May-16",14219,40119,130.1,204.2,163.8,182.1,4534.88,84340.04,3125.59
"Jun-16",17504,49069,128,198.9,160.4,193.1,4653.2,85878.28,3279.98
"Jul-16",17292,45854,118.7,193.3,167.7,192.9,5374.65,89845.99,3003.92
"Aug-16",16656,45448,113.1,194.6,161.1,183.7,5245.23,89707.71,2995.46
"Sep-16",17178,46124,115.2,200.4,152.3,189,5168.49,88540.4,3016.73
"Oct-16",18529,48467,129.6,203.9,170,192.1,4715.73,84551.36,3330.52
"Nov-16",16440,46420,136,191.2,155.5,197.4,4702.61,83622.54,3077.22
"Dec-16",19606,52059,144.8,194.7,165.4,199.6,4462.32,78583.48,3531.42
"Jan-17",18700,55649,146.1,195.6,163.3,208.3,4604.07,81191.05,3576.33
"Feb-17",17034,51781,140.4,182.5,154,210.4,4812.61,82818.17,3583.29
"Mar-17",24735,64232,162,208.6,173,210.3,4648.35,81169.45,3268.08
